cluster,motion,action
1,sprint1_subject2,sprint
1,sprint1_subject4,sprint
2,run1_subject2,run
2,run1_subject5,run
2,run2_subject1,run
2,run2_subject4,run
3,aiming1_subject1,aiming
3,aiming2_subject3,aiming
3,aiming2_subject5,aiming
3,walk1_subject1,walk
3,walk2_subject4,walk
3,walk3_subject2,walk
3,walk3_subject5,walk
3,walk4_subject1,walk
4,aiming2_subject2,aiming
4,walk1_subject5,walk
5,dance1_subject3,dance
5,dance2_subject3,dance
5,dance2_subject5,dance
5,fight1_subject5,fight
5,jumps1_subject1,jumps
5,jumps1_subject5,jumps
5,pushAndStumble1_subject5,pushAndStumble
5,walk1_subject2,walk
5,walk2_subject1,walk
6,aiming1_subject4,aiming
6,fallAndGetUp2_subject3,fallAndGetUp
6,ground1_subject1,ground
6,ground1_subject4,ground
6,ground2_subject3,ground
6,multipleActions1_subject4,multipleActions
6,push1_subject2,push
6,walk2_subject3,walk
6,walk3_subject1,walk
6,walk3_subject3,walk
6,walk3_subject4,walk
7,ground1_subject5,ground
8,dance1_subject1,dance
8,dance1_subject2,dance
8,dance2_subject1,dance
8,dance2_subject2,dance
8,dance2_subject4,dance
9,fallAndGetUp1_subject1,fallAndGetUp
9,fallAndGetUp1_subject4,fallAndGetUp
9,fallAndGetUp1_subject5,fallAndGetUp
9,fallAndGetUp2_subject2,fallAndGetUp
9,fallAndGetUp3_subject1,fallAndGetUp
9,fightAndSports1_subject4,fightAndSports
9,ground2_subject2,ground
9,jumps1_subject2,jumps
9,pushAndFall1_subject1,pushAndFall
9,pushAndFall1_subject4,pushAndFall
10,fight1_subject2,fight
10,fight1_subject3,fight
10,fightAndSports1_subject1,fightAndSports
10,multipleActions1_subject1,multipleActions
10,multipleActions1_subject2,multipleActions
10,multipleActions1_subject3,multipleActions
10,pushAndStumble1_subject2,pushAndStumble
10,pushAndStumble1_subject3,pushAndStumble
